line_id,position_role,elo_min,elo_max,speed,split,move_uci,count,total_positions,frequency
BDG-01,before_key,1900,2099,rapid,discovery,c8g4,1,3,0.3333333333333333
COL-01,after_key,1300,1499,blitz,discovery,d3f5,2,2,1.0
COL-01,after_key,1500,1699,blitz,discovery,e1g1,1,1,1.0
COL-01,after_key,1900,2099,blitz,discovery,d3f5,1,1,1.0
COL-01,before_key,1100,1299,blitz,discovery,f5d3,3,4,0.75
COL-01,before_key,1100,1299,blitz,discovery,f5g6,1,4,0.25
COL-01,before_key,1300,1499,blitz,discovery,f5d3,3,5,0.6
COL-01,before_key,1300,1499,blitz,discovery,f5g6,1,5,0.2
COL-01,before_key,1300,1499,blitz,discovery,e7e6,1,5,0.2
COL-01,before_key,1300,1499,rapid,discovery,d8d7,1,1,1.0
COL-01,before_key,1500,1699,blitz,discovery,f5g6,5,10,0.5
COL-01,before_key,1500,1699,blitz,discovery,f5d3,4,10,0.4
COL-01,before_key,1500,1699,blitz,discovery,e7e6,1,10,0.1
COL-01,before_key,1700,1899,blitz,discovery,f5d3,3,6,0.5
COL-01,before_key,1700,1899,blitz,discovery,f5g6,1,6,0.16666666666666666
COL-01,before_key,1700,1899,blitz,discovery,d8c8,1,6,0.16666666666666666
COL-01,before_key,1700,1899,blitz,discovery,f5e4,1,6,0.16666666666666666
COL-01,before_key,1900,2099,blitz,discovery,f5g6,2,6,0.3333333333333333
COL-01,before_key,1900,2099,blitz,discovery,f5d3,2,6,0.3333333333333333
COL-01,before_key,1900,2099,blitz,discovery,e7e6,1,6,0.16666666666666666
COL-01,before_key,1900,2099,blitz,discovery,f5g4,1,6,0.16666666666666666
COL-01,before_key,1900,2099,rapid,discovery,f5g6,1,1,1.0
COL-10,after_key,1300,1499,blitz,discovery,f1b5,1,1,1.0
COL-10,after_key,1500,1699,blitz,discovery,a2a3,1,1,1.0
COL-10,after_key,1500,1699,rapid,discovery,f1b5,1,1,1.0
COL-10,after_key,1700,1899,blitz,discovery,f1d3,1,1,1.0
COL-10,after_key,1900,2099,blitz,discovery,c2c4,1,1,1.0
COL-10,before_key,1300,1499,blitz,discovery,c5d4,1,1,1.0
COL-10,before_key,1500,1699,blitz,discovery,b8c6,1,1,1.0
COL-10,before_key,1700,1899,blitz,discovery,f8d6,1,2,0.5
COL-10,before_key,1700,1899,blitz,discovery,c5d4,1,2,0.5
COL-10,before_key,1700,1899,rapid,discovery,f8d6,1,1,1.0
COL-10,before_key,1900,2099,blitz,discovery,b8c6,3,3,1.0
JOB-03,before_key,1500,1699,blitz,discovery,b8c6,1,1,1.0
JOB-03,before_key,1900,2099,blitz,discovery,b8c6,1,1,1.0
JOB-04,after_key,1100,1299,blitz,discovery,b5c3,1,1,1.0
JOB-04,after_key,1700,1899,blitz,discovery,b5c3,1,1,1.0
JOB-04,before_key,1100,1299,blitz,discovery,d8a5,1,1,1.0
JOB-04,before_key,1700,1899,blitz,discovery,d8a5,1,1,1.0
LON-01,after_key,1300,1499,blitz,discovery,f1e2,1,1,1.0
LON-01,after_key,1500,1699,blitz,discovery,f1e2,1,1,1.0
LON-01,after_key,1700,1899,blitz,discovery,a2a3,3,4,0.75
LON-01,after_key,1700,1899,blitz,discovery,f1e2,1,4,0.25
LON-01,after_key,1900,2099,blitz,discovery,f1e2,2,4,0.5
LON-01,after_key,1900,2099,blitz,discovery,b1d2,2,4,0.5
LON-01,after_key,1900,2099,rapid,discovery,b1d2,1,1,1.0
LON-01,before_key,1300,1499,blitz,discovery,a7b6,1,1,1.0
LON-01,before_key,1700,1899,blitz,discovery,a7b6,5,5,1.0
LON-01,before_key,1900,2099,blitz,discovery,a7b6,4,4,1.0
LON-02,after_key,1900,2099,blitz,discovery,c2c1,6,6,1.0
LON-02,after_key,1900,2099,rapid,discovery,c2f5,1,1,1.0
LON-02,before_key,1900,2099,blitz,discovery,c8f5,6,6,1.0
LON-02,before_key,1900,2099,rapid,discovery,c8f5,2,2,1.0
LON-03,after_key,1900,2099,blitz,discovery,f1e2,1,1,1.0
LON-03,after_key,1900,2099,rapid,discovery,f1e2,1,1,1.0
LON-03,before_key,1900,2099,blitz,discovery,c8f5,1,2,0.5
LON-03,before_key,1900,2099,blitz,discovery,b6b5,1,2,0.5
LON-04,after_key,1900,2099,blitz,discovery,f3h4,1,1,1.0
LON-04,before_key,1700,1899,blitz,discovery,c8f5,1,1,1.0
LON-09,before_key,1900,2099,blitz,discovery,c8f5,1,1,1.0
LON-11,after_key,1500,1699,blitz,discovery,b1b3,1,1,1.0
LON-11,before_key,1500,1699,blitz,discovery,b2c3,1,1,1.0
ORD-01,after_key,1100,1299,blitz,discovery,f1e2,1,1,1.0
ORD-01,after_key,1500,1699,rapid,discovery,f1e2,1,1,1.0
ORD-01,before_key,1100,1299,blitz,discovery,c8g4,1,3,0.3333333333333333
ORD-01,before_key,1100,1299,blitz,discovery,f7f6,1,3,0.3333333333333333
ORD-01,before_key,1100,1299,blitz,discovery,g8f6,1,3,0.3333333333333333
ORD-01,before_key,1300,1499,blitz,discovery,f7f6,1,2,0.5
ORD-01,before_key,1300,1499,blitz,discovery,e7e6,1,2,0.5
ORD-01,before_key,1500,1699,blitz,discovery,g8f6,1,2,0.5
ORD-01,before_key,1500,1699,blitz,discovery,c8f5,1,2,0.5
ORD-01,before_key,1500,1699,rapid,discovery,c8g4,1,1,1.0
ORD-01,before_key,1700,1899,blitz,discovery,d8b6,2,4,0.5
ORD-01,before_key,1700,1899,blitz,discovery,g8f6,1,4,0.25
ORD-01,before_key,1700,1899,blitz,discovery,c5d4,1,4,0.25
ORD-01,before_key,1900,2099,blitz,discovery,g8f6,2,3,0.6666666666666666
ORD-01,before_key,1900,2099,blitz,discovery,a7a6,1,3,0.3333333333333333
ORD-02,after_key,1300,1499,blitz,discovery,d1b3,1,1,1.0
ORD-02,after_key,1500,1699,blitz,discovery,d1c2,2,3,0.6666666666666666
ORD-02,after_key,1500,1699,blitz,discovery,d1b3,1,3,0.3333333333333333
ORD-02,after_key,1700,1899,blitz,discovery,d1b3,4,6,0.6666666666666666
ORD-02,after_key,1700,1899,blitz,discovery,d1c2,2,6,0.3333333333333333
ORD-02,after_key,1700,1899,rapid,discovery,d1c2,1,1,1.0
ORD-02,after_key,1900,2099,blitz,discovery,d1b3,10,12,0.8333333333333334
ORD-02,after_key,1900,2099,blitz,discovery,b2b3,1,12,0.08333333333333333
ORD-02,after_key,1900,2099,blitz,discovery,d1c2,1,12,0.08333333333333333
ORD-02,after_key,1900,2099,rapid,discovery,d1b3,2,2,1.0
ORD-02,before_key,1100,1299,blitz,discovery,c8f5,1,1,1.0
ORD-02,before_key,1300,1499,blitz,discovery,d8b6,1,2,0.5
ORD-02,before_key,1300,1499,blitz,discovery,c5d4,1,2,0.5
ORD-02,before_key,1500,1699,blitz,discovery,c8g4,2,4,0.5
ORD-02,before_key,1500,1699,blitz,discovery,c8f5,1,4,0.25
ORD-02,before_key,1500,1699,blitz,discovery,d8b6,1,4,0.25
ORD-02,before_key,1500,1699,rapid,discovery,c8f5,2,2,1.0
ORD-02,before_key,1700,1899,blitz,discovery,d8b6,6,10,0.6
ORD-02,before_key,1700,1899,blitz,discovery,c8g4,2,10,0.2
ORD-02,before_key,1700,1899,blitz,discovery,c8f5,1,10,0.1
ORD-02,before_key,1700,1899,blitz,discovery,e7e6,1,10,0.1
ORD-02,before_key,1700,1899,rapid,discovery,d8b6,1,2,0.5
ORD-02,before_key,1700,1899,rapid,discovery,c8f5,1,2,0.5
ORD-02,before_key,1900,2099,blitz,discovery,d8b6,13,24,0.5416666666666666
ORD-02,before_key,1900,2099,blitz,discovery,c8g4,6,24,0.25
ORD-02,before_key,1900,2099,blitz,discovery,c5d4,2,24,0.08333333333333333
ORD-02,before_key,1900,2099,blitz,discovery,f6h5,1,24,0.041666666666666664
ORD-02,before_key,1900,2099,blitz,discovery,c8f5,1,24,0.041666666666666664
ORD-02,before_key,1900,2099,blitz,discovery,e7e6,1,24,0.041666666666666664
ORD-02,before_key,1900,2099,rapid,discovery,d8b6,2,5,0.4
ORD-02,before_key,1900,2099,rapid,discovery,e7e6,2,5,0.4
ORD-02,before_key,1900,2099,rapid,discovery,c8f5,1,5,0.2
PST-01,before_key,1100,1299,blitz,discovery,g7g5,2,4,0.5
PST-01,before_key,1100,1299,blitz,discovery,b8c6,2,4,0.5
PST-01,before_key,1300,1499,blitz,discovery,g7g5,3,7,0.42857142857142855
PST-01,before_key,1300,1499,blitz,discovery,b8d7,1,7,0.14285714285714285
PST-01,before_key,1300,1499,blitz,discovery,b8c6,1,7,0.14285714285714285
PST-01,before_key,1300,1499,blitz,discovery,c7c6,1,7,0.14285714285714285
PST-01,before_key,1300,1499,blitz,discovery,g8f6,1,7,0.14285714285714285
PST-01,before_key,1500,1699,blitz,discovery,g7g5,6,12,0.5
PST-01,before_key,1500,1699,blitz,discovery,g8f6,5,12,0.4166666666666667
PST-01,before_key,1500,1699,blitz,discovery,b8c6,1,12,0.08333333333333333
PST-01,before_key,1700,1899,blitz,discovery,g7g5,7,11,0.6363636363636364
PST-01,before_key,1700,1899,blitz,discovery,g8f6,3,11,0.2727272727272727
PST-01,before_key,1700,1899,blitz,discovery,b8d7,1,11,0.09090909090909091
PST-01,before_key,1700,1899,rapid,discovery,c8d7,1,4,0.25
PST-01,before_key,1700,1899,rapid,discovery,g7g5,1,4,0.25
PST-01,before_key,1700,1899,rapid,discovery,b8c6,1,4,0.25
PST-01,before_key,1700,1899,rapid,discovery,c8g4,1,4,0.25
PST-01,before_key,1900,2099,blitz,discovery,g7g5,3,4,0.75
PST-01,before_key,1900,2099,blitz,discovery,c8f5,1,4,0.25
PST-01,before_key,1900,2099,rapid,discovery,g8f6,1,1,1.0
TOR-02,before_key,1500,1699,rapid,discovery,h7h6,1,1,1.0
TOR-02,before_key,1700,1899,blitz,discovery,c7c6,2,2,1.0
TOR-02,before_key,1900,2099,blitz,discovery,g7g6,1,1,1.0
TOR-05,before_key,1900,2099,rapid,discovery,e4g5,1,1,1.0
TOR-08,after_key,1300,1499,blitz,discovery,g5h4,1,1,1.0
TOR-08,after_key,1500,1699,blitz,discovery,g5h4,1,1,1.0
TOR-08,before_key,1300,1499,blitz,discovery,f7f6,1,1,1.0
TOR-08,before_key,1700,1899,blitz,discovery,f7f6,1,1,1.0
TOR-08,before_key,1900,2099,blitz,discovery,c8g4,1,1,1.0
TOR-10,after_key,1900,2099,blitz,discovery,b1c3,1,1,1.0
TOR-10,before_key,1900,2099,blitz,discovery,d8b6,1,1,1.0
VER-01,after_key,1300,1499,blitz,discovery,f1b5,1,1,1.0
VER-05,before_key,1900,2099,blitz,discovery,g7f6,1,2,0.5
VER-05,before_key,1900,2099,blitz,discovery,e7f6,1,2,0.5
VER-08,after_key,1500,1699,rapid,discovery,d4d2,1,1,1.0
VER-08,before_key,1500,1699,rapid,discovery,b8c6,1,1,1.0
