core_order,line_id,bias_code,bias_title,chapter_opening,title,tier,line_type,key_move_san,key_move_uci,fen_before_key_move,fen_after_key_move,fixed_prefix,concept,human_problem,black_plan,memory_rule,editorial_surprise_1_5,editorial_opponent_burden_1_5,editorial_our_simplicity_1_5,editorial_learning_longevity_1_5,legacy_engine_grade,legacy_engine_max_loss_cp,stockfish_v1_status,maia3_status,lichess_status,external_review_status,publication_gate
11,LON-01,B3,Simplification trompeuse,Londres — noyau ...Qb6,La dame blanche s’échange : ...c4!,Essentiel,critique,axb6,a7b6,r1b1kb1r/pp2pppp/1Qn2n2/3p4/2pP1B2/2P1PN2/PP3PPP/RN2KB1R b KQkq -,r1b1kb1r/1p2pppp/1pn2n2/3p4/2pP1B2/2P1PN2/PP3PPP/RN2KB1R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qb3 c4 7. Qxb6 axb6,Fermer le centre avec gain de temps et accepter les pions doublés pour ouvrir la colonne a.,Le joueur du Londres pense neutraliser la pression par un échange de dames ; il sous-estime la structure active des Noirs.,"Jouer ...b5, ...Bf5 et utiliser la colonne a ; le fou f4 manque souvent de bonnes cases.","Qb3 ? Répondre c4 ; après l’échange, la colonne a paie les pions doublés.",5,4,5,5,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
12,LON-03,B3,Simplification trompeuse,Londres — noyau ...Qb6,La finale asymétrique : le plan ...b5,Avancé,structure,b5,b6b5,r1b1kb1r/1p2pppp/1pn2n2/3p4/2pP1B2/2P1PN2/PP1N1PPP/R3KB1R b KQkq -,r1b1kb1r/1p2pppp/2n2n2/1p1p4/2pP1B2/2P1PN2/PP1N1PPP/R3KB1R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qb3 c4 7. Qxb6 axb6 8. Nbd2 b5,Transformer une faiblesse statique apparente en majorité d’espace et colonne ouverte.,Les Blancs évaluent souvent les pions b6-b7 comme faibles sans voir la poussée ...b5-b4.,"Fixer l’aile-dame, développer le fou c8 en f5 et doubler les tours sur la colonne a.",Les pions doublés ne sont faibles que s’ils ne bougent pas et si la colonne ouverte ne sert à rien.,4,4,4,5,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
13,LON-05,B3,Simplification trompeuse,Londres — noyau ...Qb6,Qc1 et reprise par le pion c,Club,structure,Bf5,c8f5,r1b1kb1r/pp2pppp/1qn2n2/3p4/3P1B2/4PN2/PP3PPP/RNQ1KB1R b KQkq -,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/4PN2/PP3PPP/RNQ1KB1R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qc1 cxd4 7. cxd4 Bf5,Forcer une structure de Carlsbad inversée où les Noirs ont déjà développé activement.,La reprise cxd4 paraît saine mais laisse c3 vide et facilite ...Nb4.,"Développer ...e6, viser b4 et mettre une tour en c8.","Après cxd4, la case b4 devient une vraie destination.",3,3,4,5,A,15,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
14,JOB-11,B3,Simplification trompeuse,Jobava,4.Bxb8 : reprendre avec la tour,Club,structure,Rxb8,a8b8,rBbqkb1r/pp2pppp/5n2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq -,1rbqkb1r/pp2pppp/5n2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR w KQk -,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. Bxb8 Rxb8,Accepter une structure inhabituelle pour activer la tour sur la colonne b.,Les Blancs pensent abîmer la coordination noire en échangeant le fou contre le cavalier.,"Jouer ...a6, ...e6 et utiliser b2 comme cible de long terme.",Une tour développée gratuitement peut valoir plus que le droit de roquer côté dame.,4,3,4,5,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
15,VER-05,B3,Simplification trompeuse,Veresov et pseudo-Trompowsky,4.Bxf6 : reprendre du pion g,Club,structure,gxf6,g7f6,rnbqkb1r/pp2pppp/5B2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq -,rnbqkb1r/pp2pp1p/5p2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR w KQkq -,1. d4 d5 2. Nc3 Nf6 3. Bg5 c5 4. Bxf6 gxf6,Accepter la structure pour obtenir la colonne g et un centre mobile.,Les Blancs appliquent la règle “abîmer les pions du roque” sans regarder que le roi noir peut roquer long ou rester au centre.,"Jouer ...cxd4, ...e6 et utiliser la paire de fous.",Les pions doublés g contrôlent e5 et ouvrent la colonne g.,5,4,3,5,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
16,LON-10,B4,Le pion prétendument gratuit,Londres — noyau ...Qb6,Le pion c5 “gratuit” : ...Qxb2!,Essentiel,pratique,Qxc3,b2c3,r1b1kb1r/pp2pppp/2n2n2/2Pp4/5B2/2P1PN2/Pq1N1PPP/R2QKB1R b KQkq -,r1b1kb1r/pp2pppp/2n2n2/2Pp4/5B2/2q1PN2/P2N1PPP/R2QKB1R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. dxc5 Qxb2 7. Nbd2 Qxc3,"Exploiter la surcharge de la dame blanche : elle ne peut défendre c5, b2 et le développement.",Le joueur du système voit un pion en c5 et oublie que sa tour a1 est encore enfermée.,"Rentrer par a5 ou c3, puis développer ; ne pas collectionner les pions sans voie de sortie.","Avant de prendre c5, compte b2 — deux fois.",5,5,4,4,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
17,LON-11,B4,Le pion prétendument gratuit,Londres — noyau ...Qb6,Nbd2 laisse b2 : la route de sortie ...Qxc3,Club,critique,Qxc3,b2c3,r1b1kb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1PN2/Pq1N1PPP/1R1QKB1R b Kkq -,r1b1kb1r/pp2pppp/2n2n2/2pp4/3P1B2/2q1PN2/P2N1PPP/1R1QKB1R w Kkq -,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Nbd2 Qxb2 7. Rb1 Qxc3,Prendre b2 seulement lorsque la dame dispose d’une case de fuite concrète.,"Rb1 ressemble à un gain de dame, mais c3 devient la case d’évacuation.","Après ...Qxc3, répondre au développement par ...Bd7 ou ...cxd4 et ramener la dame.",Une dame n’est pas piégée si elle peut sortir par la case que le pion c vient de quitter.,5,5,3,4,A,4,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
18,LON-12,B4,Le pion prétendument gratuit,Londres — noyau ...Qb6,Bd3 oublie b2,Essentiel,pratique,Qxc3,b2c3,r1b1kb1r/pp2pppp/2n2n2/2pp4/3P1B2/2PBPN2/Pq1N1PPP/R2QK2R b KQkq -,r1b1kb1r/pp2pppp/2n2n2/2pp4/3P1B2/2qBPN2/P2N1PPP/R2QK2R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Bd3 Qxb2 7. Nbd2 Qxc3,Punir un développement automatique qui ne répond pas à la menace immédiate.,"Bd3 est le coup “du système”, mais la position exige d’abord de traiter b2.","Après le gain de pion, neutraliser e4 et finir le développement sans précipitation.",Un coup normal peut être une gaffe s’il ignore une question concrète.,5,5,5,4,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
19,LON-15,B4,Le pion prétendument gratuit,Londres — noyau ...Qb6,Qa4 ne sauve pas b2 : ...Qxb2,Avancé,critique,Qxb2,b6b2,r1b1kb1r/pp2pppp/1qn2n2/2pp4/Q2P1B2/2P1PN2/PP3PPP/RN2KB1R b KQkq -,r1b1kb1r/pp2pppp/2n2n2/2pp4/Q2P1B2/2P1PN2/Pq3PPP/RN2KB1R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qa4 Qxb2,Vérifier concrètement la cible b2 au lieu de répondre automatiquement au pseudo-clouage.,"Qa4 donne une impression d’activité, mais la dame blanche ne protège toujours pas son aile-dame.","Après ...Qxb2, préparer ...Bd7 ou ...a6 et identifier la sortie avant Rb1.",Une dame active ne protège pas automatiquement les pions qu’elle a quittés.,4,4,4,5,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
20,PST-04,B4,Le pion prétendument gratuit,Veresov et pseudo-Trompowsky,3.Bxh6? : accepter le sacrifice,Essentiel,pratique,Rxh6,h8h6,rnbqkbnr/ppp1ppp1/7B/3p4/3P4/8/PPP1PPPP/RN1QKBNR b KQkq -,rnbqkbn1/ppp1ppp1/7r/3p4/3P4/8/PPP1PPPP/RN1QKBNR w KQq -,1. d4 d5 2. Bg5 h6 3. Bxh6 Rxh6,Reconnaître un sacrifice visuellement tentant mais insuffisant.,Le joueur pense empêcher le roque et gagner deux pions pour le fou.,"Développer ...Nf6, ...c5 et utiliser la tour active h6.",Deux pions ne valent pas un fou ; la tour h6 peut rentrer par h8.,5,5,5,4,A,23,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
21,LON-06,B5,Peur et sur-réaction,Londres — noyau ...Qb6,Qc2 : poser la question avec ...Nh5,Essentiel,pratique,hxg3,h2g3,r1b1kb1r/pp2pppp/1qn5/2pp4/3P4/2P1PNn1/PPQ2PPP/RN2KB1R w KQkq -,r1b1kb1r/pp2pppp/1qn5/2pp4/3P4/2P1PNP1/PPQ2PP1/RN2KB1R b KQkq -,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qc2 Nh5 7. Bg3 Nxg3 8. hxg3,Échanger le fou du Londres et provoquer une structure qui offre des cibles.,Les Blancs veulent conserver leur fou et acceptent souvent une reprise h qui modifie leur roque.,"Jouer ...g6, ...Bg7 et ouvrir la colonne h seulement si le roi blanc y roque.","Q protégée, fou exposé : ...Nh5 devient possible.",4,4,5,5,A,5,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
22,LON-07,B5,Peur et sur-réaction,Londres — noyau ...Qb6,Le fou se cache en g5 : ...h6 et ...g5,Club,pratique,g5,g7g5,r1b1kb1r/pp2ppp1/1qn4p/2pp3n/3P3B/2P1PN2/PPQ2PPP/RN2KB1R b KQkq -,r1b1kb1r/pp2pp2/1qn4p/2pp2pn/3P3B/2P1PN2/PPQ2PPP/RN2KB1R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qc2 Nh5 7. Bg5 h6 8. Bh4 g5,"Gagner de l’espace sur l’aile-roi sans mettre son roi en danger, car le centre est contrôlé.",Le fou blanc suit un automatisme de conservation et finit par manquer de cases.,"Poursuivre par ...g4 si le cavalier f3 est mal placé, sinon consolider avec ...Bg7.",Ne pousse pas les pions pour attaquer le roi : pousse-les pour emprisonner le fou.,5,5,4,4,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
23,TOR-02,B5,Peur et sur-réaction,Torre,4.Bh4 : le coup machine ...h5!,Club,pratique,h5,h7h5,rnbqkb1r/ppp1pppp/8/3p4/3Pn2B/5N2/PPP1PPPP/RN1QKB1R b KQkq -,rnbqkb1r/ppp1ppp1/8/3p3p/3Pn2B/5N2/PPP1PPPP/RN1QKB1R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. Bh4 h5,Restreindre le fou et préparer ...f6-g5 sans craindre une attaque de roi immédiate.,Bh4 applique une règle de conservation du fou mais lui retire ses cases.,"Après e3, jouer ...f6 ; si Nfd2, échanger ou gagner de l’espace.",Le but de ...h5 n’est pas d’attaquer : c’est de fermer la porte h2.,5,5,4,4,A,11,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
24,TOR-05,B5,Peur et sur-réaction,Torre,4.h4 : ignorer l’intimidation,Club,pratique,c5,c7c5,rnbqkb1r/ppp1pppp/8/3p2B1/3Pn2P/5N2/PPP1PPP1/RN1QKB1R b KQkq -,rnbqkb1r/pp2pppp/8/2pp2B1/3Pn2P/5N2/PPP1PPP1/RN1QKB1R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. h4 c5,Répondre sur le centre plutôt que copier une poussée d’aile.,"h4 cherche à punir ...Nxg5 ou ...f6, mais le roi blanc n’est pas développé.","Jouer ...Qb6, ...Nc6 et laisser les Blancs justifier h4.","Contre h4, ne joue pas h5 par réflexe : joue ...c5.",4,4,5,5,A,11,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
25,PST-01,B5,Peur et sur-réaction,Veresov et pseudo-Trompowsky,2.Bg5 : demander au fou avec ...h6,Essentiel,critique,c5,c7c5,rnbqkbnr/ppp1ppp1/7p/3p4/3P3B/8/PPP1PPPP/RN1QKBNR b KQkq -,rnbqkbnr/pp2ppp1/7p/2pp4/3P3B/8/PPP1PPPP/RN1QKBNR w KQkq -,1. d4 d5 2. Bg5 h6 3. Bh4 c5,Obtenir un tempo utile avant de frapper le centre.,Le pseudo-Trompowsky mise sur un Noir qui développe Nf6 automatiquement.,"Jouer ...cxd4, ...Nc6 et ...Qb6.","Avant de jouer ...Nf6, demande au fou où il veut vivre.",4,4,5,5,A,23,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
26,ORD-09,B6,Règles rigides,Londres — ordres de coups,h4 précoce : riposter au centre,Club,structure,Nbd7,b8d7,rnbqkb1r/pp2pppp/5n2/3p4/3N1B1P/8/PPP1PPP1/RN1QKB1R b KQkq -,r1bqkb1r/pp1npppp/5n2/3p4/3N1B1P/8/PPP1PPP1/RN1QKB1R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. h4 cxd4 5. Nxd4 Nbd7,Répondre à une expansion d’aile par une pression centrale immédiate.,"h4 cherche à intimider, mais ne développe rien et ne défend pas b2.",Ne pas lancer une contre-attaque de pions ; finir le développement et viser d4.,Une attaque d’aile prématurée se punit au centre.,4,4,5,5,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
27,TOR-08,B6,Règles rigides,Torre,4.e3 : le coup concret ...f6,Club,pratique,f6,f7f6,rnbqkb1r/ppp1pppp/8/3p2B1/3Pn3/4PN2/PPP2PPP/RN1QKB1R b KQkq -,rnbqkb1r/ppp1p1pp/5p2/3p2B1/3Pn3/4PN2/PPP2PPP/RN1QKB1R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. e3 f6,Chasser le fou et préparer e5 dans un centre fermé.,e3 consolide d4 mais enferme le fou c1 ; le roi blanc ne peut exploiter la poussée f.,"Après Bf4, jouer ...c5 ; après Bh4, g5 peut gagner le fou.",La poussée ...f6 est saine quand elle gagne un tempo et prépare ...e5.,5,5,4,4,A,11,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
28,TOR-09,B6,Règles rigides,Torre,Bh4-h5-f6 : échanger puis enfermer,Avancé,structure,g5,g7g5,rnbqkb1r/ppp1p1p1/5p2/3p3p/3P3B/4P3/PPPN1PPP/R2QKB1R b KQkq -,rnbqkb1r/ppp1p3/5p2/3p2pp/3P3B/4P3/PPPN1PPP/R2QKB1R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. Bh4 h5 5. e3 f6 6. Nfd2 Nxd2 7. Nxd2 g5,"Échanger le cavalier qui pourrait défendre le fou, puis construire une cage de pions.",Les Blancs jouent des coups “sûrs” ; l’échange en d2 retire un défenseur et rend la restriction du fou plus concrète.,"Après ...g5, choisir entre gagner le fou, ouvrir la colonne h ou consolider avec ...e6.","Échange d’abord le bon défenseur, puis compte les cases du fou.",5,5,3,5,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
